0,1.873088e+00
1,7.020682e-01
2,3.083796e-01
3,1.453939e-01
4,7.501543e-02
5,4.230530e-02
6,2.540661e-02
7,1.567961e-02
8,9.338621e-03
9,5.355987e-03
10,3.103276e-03
11,1.795329e-03
12,1.059933e-03
13,6.177699e-04
14,3.408344e-04
15,1.837213e-04
16,9.458774e-05
17,4.793590e-05
18,2.509139e-05
19,1.335295e-05
20,6.635725e-06
21,3.148633e-06
22,1.532361e-06
23,7.374118e-07
24,3.694842e-07
25,1.814503e-07
26,8.733849e-08
27,4.260778e-08
28,2.102630e-08
29,1.027033e-08
30,5.333548e-09
31,2.961407e-09
32,1.715853e-09
33,9.877638e-10
34,5.383867e-10
35,2.915074e-10
36,1.652289e-10
37,1.032115e-10
38,6.484048e-11
