iter=10,time_solve=3.067,time_pre=-1.488
iter=10,time_solve=1.636,time_pre=-1.479
iter=10,time_solve=1.509,time_pre=-1.439
iter=10,time_solve=1.461,time_pre=0.029
iter=10,time_solve=0.177,time_pre=-0.025
iter=10,time_solve=0.053,time_pre=0.039
iter=10,time_solve=2.539,time_pre=-1.214
iter=10,time_solve=2.513,time_pre=-1.192
iter=10,time_solve=1.381,time_pre=-1.131
iter=10,time_solve=1.356,time_pre=-1.105
iter=10,time_solve=1.174,time_pre=-1.061
iter=10,time_solve=1.149,time_pre=-1.033
iter=10,time_solve=1.082,time_pre=0.045
iter=10,time_solve=1.056,time_pre=0.071
iter=10,time_solve=0.237,time_pre=-0.103
iter=10,time_solve=0.237,time_pre=-0.102
iter=10,time_solve=0.122,time_pre=0.047
iter=10,time_solve=0.122,time_pre=0.047
iter=5,time_solve=7.003,time_pre=-4.280
iter=5,time_solve=4.880,time_pre=-0.849
iter=10,time_solve=2.422,time_pre=0.430
iter=2,time_solve=0.009,time_pre=-0.007
iter=2,time_solve=0.009,time_pre=-0.007
iter=2,time_solve=0.007,time_pre=0.015
iter=10,time_solve=54.842,time_pre=-36.169
iter=10,time_solve=38.467,time_pre=-34.888
iter=10,time_solve=35.398,time_pre=-34.089
iter=10,time_solve=34.321,time_pre=-1.315
iter=10,time_solve=4.520,time_pre=-0.605
iter=10,time_solve=1.203,time_pre=0.321
iter=10,time_solve=5.419,time_pre=-3.272
iter=10,time_solve=3.714,time_pre=-3.242
iter=10,time_solve=3.375,time_pre=-3.162
iter=10,time_solve=3.207,time_pre=0.289
iter=10,time_solve=0.786,time_pre=-0.203
iter=10,time_solve=0.308,time_pre=0.128
iter=10,time_solve=5.422,time_pre=-3.277
iter=10,time_solve=3.717,time_pre=-3.248
iter=10,time_solve=3.378,time_pre=-3.163
iter=10,time_solve=3.210,time_pre=0.303
iter=10,time_solve=0.787,time_pre=-0.204
iter=10,time_solve=0.309,time_pre=0.127
iter=5,time_solve=27.526,time_pre=-1.862
iter=5,time_solve=18.787,time_pre=16.753
iter=10,time_solve=8.910,time_pre=1.447
iter=2,time_solve=0.062,time_pre=-0.052
iter=2,time_solve=0.057,time_pre=-0.037
iter=2,time_solve=0.046,time_pre=0.073
